"dates","imported","local"
"2020-01-18",1,0
"2020-01-19",0,0
"2020-01-20",1,0
"2020-01-21",3,0
"2020-01-22",0,2
"2020-01-23",3,1
"2020-01-24",0,0
"2020-01-25",1,3
"2020-01-26",0,1
"2020-01-27",0,0
"2020-01-28",1,4
"2020-01-29",0,3
"2020-01-30",0,9
"2020-01-31",0,2
"2020-02-01",0,4
"2020-02-02",1,4
"2020-02-03",1,4
"2020-02-04",1,4
"2020-02-05",0,1
"2020-02-06",0,0
"2020-02-07",0,2
"2020-02-08",0,7
"2020-02-09",0,0
"2020-02-10",0,2
"2020-02-11",0,1
"2020-02-12",1,6
"2020-02-13",0,3
"2020-02-14",0,1
"2020-02-15",1,0
"2020-02-16",0,1
"2020-02-17",1,1
"2020-02-18",0,2
"2020-02-19",1,1
"2020-02-20",1,2
"2020-02-21",0,0
"2020-02-22",0,0
"2020-02-23",1,1
"2020-02-24",4,0
"2020-02-25",0,3
"2020-02-26",0,0
"2020-02-27",0,0
"2020-02-28",2,2
"2020-02-29",0,1
"2020-03-01",1,0
"2020-03-02",3,1
"2020-03-03",3,1
"2020-03-04",0,5
"2020-03-05",1,0
"2020-03-06",3,3
"2020-03-07",6,1
"2020-03-08",6,3
"2020-03-09",10,2
"2020-03-10",13,4
"2020-03-11",10,6
"2020-03-12",19,1
"2020-03-13",14,4
"2020-03-14",17,1
"2020-03-15",20,5
"2020-03-16",32,8
"2020-03-17",29,11
"2020-03-18",26,12
"2020-03-19",40,4
"2020-03-20",24,16
"2020-03-21",19,12
"2020-03-22",18,15
"2020-03-23",26,19
"2020-03-24",21,23
"2020-03-25",23,16
"2020-03-26",17,16
"2020-03-27",34,15
"2020-03-28",25,6
"2020-03-29",30,12
"2020-03-30",24,6
"2020-03-31",25,5
"2020-04-01",16,7
"2020-04-02",18,5
"2020-04-03",15,7
"2020-04-04",8,5
"2020-04-05",8,3
"2020-04-06",8,5
"2020-04-07",6,2
"2020-04-08",12,3
"2020-04-09",2,0
"2020-04-10",4,2
"2020-04-11",4,1
"2020-04-12",1,0
"2020-04-13",2,2
"2020-04-14",2,1
"2020-04-15",4,0
"2020-04-16",1,0
"2020-04-17",1,0
"2020-04-18",1,0
"2020-04-19",1,0
"2020-04-20",0,0
"2020-04-21",2,0
"2020-04-22",3,0
"2020-04-23",0,0
"2020-04-24",0,0
"2020-04-25",0,1
